Departamento,Provincia,Distrito,Pobl_pobre
Lambayeque,Chiclayo,Cayalti,3
Lambayeque,Chiclayo,Patapo,3
Lambayeque,Chiclayo,Pomalca,3
Lambayeque,Chiclayo,Pucala,3
Lambayeque,Chiclayo,Tuman,3
Lambayeque,Ferreñafe,Ferreñafe,10
Lambayeque,Ferreñafe,Cañaris,5
Lambayeque,Ferreñafe,Incahuasi,5
Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,2
Lambayeque,Ferreñafe,Pitipo,3
Lambayeque,Ferreñafe,Pueblo Nuevo,2
Lambayeque,Lambayeque,Lambayeque,2
Lambayeque,Lambayeque,Chochope,10
Lambayeque,Lambayeque,Illimo,5
Lambayeque,Lambayeque,Jayanca,8
Lambayeque,Lambayeque,Mochumi,2
Lambayeque,Lambayeque,Morrope,5
Lambayeque,Lambayeque,Motupe,3
Lambayeque,Lambayeque,Olmos,3
Lambayeque,Lambayeque,Pacora,3
Lambayeque,Lambayeque,Salas,3
Lambayeque,Lambayeque,San José,3
Lambayeque,Lambayeque,Tucume,2
Lima,Lima,null,0
Lima,Barranca,null,0
Lima,Cajatambo,null,0
Lima,Canta,null,0
Lima,Cañete,null,0
Lima,Huaral,null,0
Lima,Huarochirí,null,0
Lima,Huaura,null,0
Lima,Oyón,null,0
Lima,Yauyos,null,0
Loreto,Maynas,null,0
Loreto,Alto Amazonas,null,0
Loreto,Loreto,null,0
Loreto,Mariscal Ramón Castilla,null,0
Loreto,Requena,null,0
Loreto,Ucayali,null,0
Loreto,Datem del Marañón,null,0
Loreto,Putumayo,null,0
Madre de Dios,Tambopata,null,0
Madre de Dios,Manu,null,0
Madre de Dios,Tahuamanu,null,0
Moquegua,Mariscal Nieto,Moquegua,3
Moquegua,Mariscal Nieto,Carumas,3
Moquegua,Mariscal Nieto,Cuchumbaya,3
Moquegua,Mariscal Nieto,Samegua,3
Moquegua,Mariscal Nieto,San Cristóbal,3
Moquegua,Mariscal Nieto,Torata,3
Moquegua,General Sánchez Cerro,Omate,3
Moquegua,General Sánchez Cerro,Chojata,3
Moquegua,General Sánchez Cerro,Coalaque,3
Moquegua,General Sánchez Cerro,Ichuña,3
Moquegua,General Sánchez Cerro,La Capilla,3
Moquegua,General Sánchez Cerro,Lloque,3
Moquegua,General Sánchez Cerro,Matalaque,3
Moquegua,General Sánchez Cerro,Puquina,3
Moquegua,General Sánchez Cerro,Quinistaquillas,3
Moquegua,General Sánchez Cerro,Ubinas,3
Moquegua,General Sánchez Cerro,Yunga,3
Moquegua,Ilo,Ilo,3
Moquegua,Ilo,El Algarrobal,1
Moquegua,Ilo,Pacocha,2
Pasco,Pasco,null,0
Pasco,Daniel Alcides Carrión,null,0
Pasco,Oxapampa,null,0
Piura,Piura,null,0
Piura,Ayabaca,null,0
Piura,Huancabamba,null,0
Piura,Morropón,null,0
Piura,Paita,null,0
Piura,Sullana,null,0
Piura,Talara,null,0
Piura,Sechura,null,0
Puno,Puno,null,0
Puno,Azángaro,null,0
Puno,Carabaya,null,0
Puno,Chucuito,null,0
Puno,El Collao,null,0
Puno,Huancané,null,0
Puno,Lampa,null,0
Puno,Melgar,null,0
Puno,Moho,null,0
Puno,San Antonio de Putina,null,0
Puno,San Román,null,0
Puno,Sandia,null,0
Puno,Yunguyo,null,0
San Martín,Moyobamba,null,0
San Martín,Bellavista,null,0
San Martín,El Dorado,null,0
San Martín,Huallaga,null,0
San Martín,Lamas,null,0
San Martín,Mariscal Cáceres,null,0
San Martín,Picota,null,0
San Martín,Rioja,null,0
San Martín,San Martín,null,0
San Martín,Tocache,null,0
Tacna,Tacna,Tacna,1
Tacna,Tacna,Alto de la Alianza,2
Tacna,Tacna,Calana,2
Tacna,Tacna,Ciudad Nueva,1
Tacna,Tacna,Inclan,1
Tacna,Tacna,Pachia,1
Tacna,Tacna,Palca,2
Tacna,Tacna,Pocollay,1
Tacna,Tacna,Sama,1
Tacna,Tacna,Coronel Gregorio Albarracín Lanchipa,2
Tacna,Tacna,La Yarada los Palos,2
Tacna,Candarave,Candarave,2
Tacna,Candarave,Cairani,2
Tacna,Candarave,Camilaca,1
Tacna,Candarave,Curibaya,2
Tacna,Candarave,Huanuara,2
Tacna,Candarave,Quilahuani,2
Tacna,Jorge Basadre,Locumba,2
Tacna,Jorge Basadre,Ilabaya,2
Tacna,Jorge Basadre,Ite,1
Tacna,Tarata,Tarata,1
Tacna,Tarata,Héroes Albarracín,1
Tacna,Tarata,Estique,1
Tacna,Tarata,Estique-Pampa,2
Tacna,Tarata,Sitajara,2
Tacna,Tarata,Susapaya,2
Tacna,Tarata,Tarucachi,2
Tacna,Tarata,Ticaco,2
Tumbes,Tumbes,Tumbes,5
Tumbes,Tumbes,Corrales,7
Tumbes,Tumbes,La Cruz,5
Tumbes,Tumbes,Pampas de Hospital,7
Tumbes,Tumbes,San Jacinto,4
Tumbes,Tumbes,San Juan de la Virgen,2
Tumbes,Contralmirante Villar,Zorritos,2
Tumbes,Contralmirante Villar,Casitas,4
Tumbes,Contralmirante Villar,Canoas de Punta Sal,6
Tumbes,Zarumilla,Zarumilla,13
Tumbes,Zarumilla,Aguas Verdes,2
Tumbes,Zarumilla,Matapalo,2
Tumbes,Zarumilla,Papayal,3
Ucayali,Coronel Portillo,null,0
Ucayali,Atalaya,null,0
Ucayali,Padre Abad,null,0
Ucayali,Purús,null,0
